state,Month,Year,handgun,long_gun,other,month,permit,Total Sales
California,Apr,2010,26170,27650,0,2010-04,26930,80750
California,Apr,2011,30345,29788,0,2011-04,26912,87045
California,Apr,2012,29500,30211,59,2012-04,29961,89731
California,Apr,2013,34701,42516,72,2013-04,32066,109355
California,Apr,2014,40847,29602,4030,2014-04,58879,133358
California,Apr,2015,35479,25542,4370,2015-04,48166,113557
California,Apr,2016,41862,30133,5247,2016-04,93023,170265
California,Apr,2017,45182,24898,3104,2017-04,58147,131331
California,Apr,2018,37814,25571,3736,2018-04,53448,120569
California,Apr,2019,37484,25895,4204,2019-04,46004,113587
California,Apr,2020,59219,31759,6330,2020-04,24460,121768
California,Apr,2021,44095,30019,7117,2021-04,17570,98801
California,Apr,2022,38217,25572,5595,2022-04,17944,87328
California,Apr,2023,35813,23385,5158,2023-04,24760,89116
California,Aug,2009,17376,21212,0,2009-08,27339,65927
California,Aug,2010,18686,22110,0,2010-08,24503,65299
California,Aug,2011,23431,27619,0,2011-08,25109,76159
California,Aug,2012,29494,31911,63,2012-08,25118,86586
California,Aug,2013,31020,39974,74,2013-08,39311,110379
California,Aug,2014,38710,30590,3454,2014-08,45625,118379
California,Aug,2015,33938,26257,3935,2015-08,59988,124118
California,Aug,2016,43344,43552,13186,2016-08,75535,175617
California,Aug,2017,41110,26220,3058,2017-08,59528,129916
California,Aug,2018,34617,25666,3117,2018-08,38687,102087
California,Aug,2019,36607,25247,3837,2019-08,26631,92322
California,Aug,2020,65196,38505,8409,2020-08,33056,145166
California,Aug,2021,41275,28433,5995,2021-08,17798,93501
California,Aug,2022,39236,25005,5743,2022-08,39274,109258
California,Aug,2023,32817,22053,4091,2023-08,33355,92316
California,Dec,2009,19496,27200,0,2009-12,22518,69214
California,Dec,2010,24519,32100,0,2010-12,24901,81520
California,Dec,2011,29452,36425,54,2011-12,23007,88938
California,Dec,2012,51731,73026,91,2012-12,25144,149992
California,Dec,2013,34360,70609,68,2013-12,32778,137815
California,Dec,2014,66770,47409,6956,2014-12,41907,163042
California,Dec,2015,74399,48762,9583,2015-12,119166,251910
California,Dec,2016,63649,93224,77929,2016-12,61808,296610
California,Dec,2017,47613,35240,4885,2017-12,53885,141623
California,Dec,2018,40445,34180,3808,2018-12,30754,109187
California,Dec,2019,40637,30780,4883,2019-12,29544,105844
California,Dec,2020,59909,39389,6932,2020-12,26034,132264
California,Dec,2021,46627,31488,5894,2021-12,15528,99537
California,Dec,2022,40213,28073,5523,2022-12,22839,96648
California,Feb,2010,19706,21016,0,2010-02,23478,64200
California,Feb,2011,24348,24119,0,2011-02,19003,67470
California,Feb,2012,30902,31877,72,2012-02,25314,88165
California,Feb,2013,38087,46026,97,2013-02,23358,107568
California,Feb,2014,39048,29728,4280,2014-02,36848,109904
California,Feb,2015,37478,27480,4417,2015-02,42920,112295
California,Feb,2016,44461,29486,5283,2016-02,134211,213441
